Designator,Mid X,Mid Y,Rotation,Layer
R29,157.0,-116.25,270.0,top
R3,143.8875,-95.7,0.0,top
R30,185.7,-110.0,270.0,top
R31,186.25,-121.75,90.0,top
R32,203.955,-108.5,0.0,top
R33,183.75,-121.75,90.0,top
R34,227.25,-108.651,0.0,top
R35,182.0,-109.75,180.0,top
R36,177.5,-115.75,90.0,top
R37,179.5,-115.75,270.0,top
R38,207.6,-110.2,270.0,top
R39,208.205,-122.5,90.0,top
R4,144.6875,-91.9,180.0,top
R40,230.865,-72.25,180.0,top
R41,205.705,-122.5,90.0,top
R42,206.615,-72.225,180.0,top
R43,203.955,-110.5,180.0,top
R44,199.455,-116.5,90.0,top
R45,201.455,-116.5,270.0,top
R46,231.0,-110.7,270.0,top
R47,231.5,-122.651,90.0,top
R48,183.66,-72.25,180.0,top
R49,229.0,-122.651,90.0,top
R5,117.9,-80.9,0.0,top
R50,160.865,-72.25,180.0,top
R51,227.25,-110.651,180.0,top
R52,222.75,-116.651,90.0,top
R53,224.75,-116.651,270.0,top
R54,227.2,-70.5,90.0,top
R55,226.615,-58.25,270.0,top
R56,137.57,-72.25,180.0,top
R57,229.115,-58.25,270.0,top
R58,110.7,-72.49,180.0,top
R59,230.865,-70.25,0.0,top
R6,111.75,-110.75,180.0,top
R60,235.365,-64.25,270.0,top
R61,233.365,-64.25,90.0,top
R62,202.9,-70.3,90.0,top
R63,202.365,-58.225,270.0,top
R64,118.6,-110.8,180.0,top
R65,204.865,-58.225,270.0,top
R66,142.4125,-110.4,180.0,top
R67,126.9,-98.9,270.0,top
R68,125.9,-98.91,270.0,top
R69,123.902,-72.925,270.0,top
R70,121.3,-98.1125,90.0,top
R71,206.615,-70.225,0.0,top
R72,211.115,-64.225,270.0,top
R73,143.01,-84.7,0.0,top
R74,143.0,-83.3,0.0,top
R75,136.245,-79.91,90.0,top
R76,154.9,-102.4,180.0,top
R77,154.3875,-96.4,0.0,top
R78,209.115,-64.225,90.0,top
R79,243.6625,-109.25,0.0,top
R8,116.0,-122.75,90.0,top
R80,115.2,-82.8,180.0,top
R81,180.0,-70.7,90.0,top
R82,115.2,-83.9,180.0,top
R83,179.41,-58.25,270.0,top
R84,166.6,-110.4,180.0,top
R85,181.91,-58.25,270.0,top
R86,189.0875,-109.9,180.0,top
R87,183.66,-70.25,0.0,top
R88,188.16,-64.25,270.0,top
R89,186.16,-64.25,90.0,top
R9,113.5,-122.75,90.0,top
R90,157.2,-70.4125,90.0,top
R91,156.615,-58.25,270.0,top
R92,210.8875,-110.7,180.0,top
R93,159.115,-58.25,270.0,top
R94,234.5,-110.8,180.0,top
R95,160.865,-70.25,0.0,top
R96,165.365,-64.25,270.0,top
R97,163.365,-64.25,90.0,top
R98,133.9,-70.8,90.0,top
R99,133.32,-58.25,270.0,top
S1,166.21,-81.16,270.0,top
S2,226.9,-93.3,0.0,top
SW1,151.4,-89.4,180.0,top
SW2,109.5,-78.1,0.0,top
U1,127.5125,-89.2875,270.0,top
U10,227.365,-64.75,0.0,top
U11,203.115,-64.725,0.0,top
U12,180.16,-64.75,0.0,top
U13,157.365,-64.75,0.0,top
U14,134.07,-64.75,0.0,top
U15,107.2,-64.99,0.0,top
U16,239.25,-101.0,0.0,top
U2,128.0,-72.7,180.0,top
U3,143.5,-101.0,180.0,top
U4,115.25,-116.25,180.0,top
U5,138.795,-115.75,180.0,top
U6,163.0,-115.75,180.0,top
U7,185.5,-115.25,180.0,top
U8,207.455,-116.0,180.0,top
U9,230.75,-116.151,180.0,top
